10:02:04 PM  [main] 	Initializing Control Panel
10:02:04 PM  [main] 	Windows Version:  Enterprise  64-bit
10:02:04 PM  [main] 	XAMPP Version: 8.1.1
10:02:04 PM  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
10:02:04 PM  [main] 	Running with Administrator rights - good!
10:02:04 PM  [main] 	XAMPP Installation Directory: "c:\xampp\"
10:02:04 PM  [main] 	Checking for prerequisites
10:02:04 PM  [main] 	All prerequisites found
10:02:04 PM  [main] 	Initializing Modules
10:02:04 PM  [Apache] 	XAMPP Apache is already running on port 80
10:02:04 PM  [Apache] 	XAMPP Apache is already running on port 443
10:02:04 PM  [mysql] 	Problem detected!
10:02:04 PM  [mysql] 	Port 3306 in use by "Unable to open process"!
10:02:04 PM  [mysql] 	MySQL WILL NOT start without the configured ports free!
10:02:04 PM  [mysql] 	You need to uninstall/disable/reconfigure the blocking application
10:02:04 PM  [mysql] 	or reconfigure MySQL and the Control Panel to listen on a different port
10:02:04 PM  [main] 	Starting Check-Timer
10:02:04 PM  [main] 	Control Panel Ready
10:02:08 PM  [Apache] 	Attempting to stop Apache (PID: 16500)
10:02:08 PM  [Apache] 	Attempting to stop Apache (PID: 120)
10:02:08 PM  [Apache] 	Status change detected: stopped
10:02:12 PM  [mysql] 	Problem detected!
10:02:12 PM  [mysql] 	Port 3306 in use by "Unable to open process"!
10:02:12 PM  [mysql] 	MySQL WILL NOT start without the configured ports free!
10:02:12 PM  [mysql] 	You need to uninstall/disable/reconfigure the blocking application
10:02:12 PM  [mysql] 	or reconfigure MySQL and the Control Panel to listen on a different port
10:02:12 PM  [mysql] 	Attempting to start MySQL app...
10:02:13 PM  [mysql] 	Status change detected: running
10:02:14 PM  [mysql] 	Status change detected: stopped
10:02:14 PM  [mysql] 	Error: MySQL shutdown unexpectedly.
10:02:14 PM  [mysql] 	This may be due to a blocked port, missing dependencies, 
10:02:14 PM  [mysql] 	improper privileges, a crash, or a shutdown by another method.
10:02:14 PM  [mysql] 	Press the Logs button to view error logs and check
10:02:14 PM  [mysql] 	the Windows Event Viewer for more clues
10:02:14 PM  [mysql] 	If you need more help, copy and post this
10:02:14 PM  [mysql] 	entire log window on the forums
10:02:15 PM  [Apache] 	Attempting to start Apache app...
10:02:16 PM  [Apache] 	Status change detected: running
10:02:24 PM  [mysql] 	Problem detected!
10:02:24 PM  [mysql] 	Port 3306 in use by "Unable to open process"!
10:02:24 PM  [mysql] 	MySQL WILL NOT start without the configured ports free!
10:02:24 PM  [mysql] 	You need to uninstall/disable/reconfigure the blocking application
10:02:24 PM  [mysql] 	or reconfigure MySQL and the Control Panel to listen on a different port
10:02:24 PM  [mysql] 	Attempting to start MySQL app...
10:02:25 PM  [mysql] 	Status change detected: running
10:02:27 PM  [mysql] 	Status change detected: stopped
10:02:27 PM  [mysql] 	Error: MySQL shutdown unexpectedly.
10:02:27 PM  [mysql] 	This may be due to a blocked port, missing dependencies, 
10:02:27 PM  [mysql] 	improper privileges, a crash, or a shutdown by another method.
10:02:27 PM  [mysql] 	Press the Logs button to view error logs and check
10:02:27 PM  [mysql] 	the Windows Event Viewer for more clues
10:02:27 PM  [mysql] 	If you need more help, copy and post this
10:02:27 PM  [mysql] 	entire log window on the forums
10:02:28 PM  [mysql] 	Problem detected!
10:02:28 PM  [mysql] 	Port 3306 in use by "Unable to open process"!
10:02:28 PM  [mysql] 	MySQL WILL NOT start without the configured ports free!
10:02:28 PM  [mysql] 	You need to uninstall/disable/reconfigure the blocking application
10:02:28 PM  [mysql] 	or reconfigure MySQL and the Control Panel to listen on a different port
10:02:28 PM  [mysql] 	Attempting to start MySQL app...
10:02:28 PM  [mysql] 	Status change detected: running
10:02:30 PM  [mysql] 	Status change detected: stopped
10:02:30 PM  [mysql] 	Error: MySQL shutdown unexpectedly.
10:02:30 PM  [mysql] 	This may be due to a blocked port, missing dependencies, 
10:02:30 PM  [mysql] 	improper privileges, a crash, or a shutdown by another method.
10:02:30 PM  [mysql] 	Press the Logs button to view error logs and check
10:02:30 PM  [mysql] 	the Windows Event Viewer for more clues
10:02:30 PM  [mysql] 	If you need more help, copy and post this
10:02:30 PM  [mysql] 	entire log window on the forums
10:02:31 PM  [mysql] 	Problem detected!
10:02:31 PM  [mysql] 	Port 3306 in use by "Unable to open process"!
10:02:31 PM  [mysql] 	MySQL WILL NOT start without the configured ports free!
10:02:31 PM  [mysql] 	You need to uninstall/disable/reconfigure the blocking application
10:02:31 PM  [mysql] 	or reconfigure MySQL and the Control Panel to listen on a different port
10:02:31 PM  [mysql] 	Attempting to start MySQL app...
10:02:31 PM  [mysql] 	Status change detected: running
10:02:33 PM  [mysql] 	Status change detected: stopped
10:02:33 PM  [mysql] 	Error: MySQL shutdown unexpectedly.
10:02:33 PM  [mysql] 	This may be due to a blocked port, missing dependencies, 
10:02:33 PM  [mysql] 	improper privileges, a crash, or a shutdown by another method.
10:02:33 PM  [mysql] 	Press the Logs button to view error logs and check
10:02:33 PM  [mysql] 	the Windows Event Viewer for more clues
10:02:33 PM  [mysql] 	If you need more help, copy and post this
10:02:33 PM  [mysql] 	entire log window on the forums
10:02:33 PM  [mysql] 	Problem detected!
10:02:33 PM  [mysql] 	Port 3306 in use by "Unable to open process"!
10:02:34 PM  [mysql] 	MySQL WILL NOT start without the configured ports free!
10:02:34 PM  [mysql] 	You need to uninstall/disable/reconfigure the blocking application
